claim,evidence_file,experiment,sample,region,metric,value,status,notes
Recall ceiling 0.7834 from invented REF (25.1% match FASTA; 81/374 phantoms),History/3_DEVLOG.md:158-340; 4_DEVLOG.md,neural,synthetic reads,chr21 slice,ceiling,0.7834,VERIFIED_REPORT,
Router-cutoff sweep chr1_segdup full: 5.0-6.0 identical; 7.0 routes 8.67%,History/14_DEVLOG.md s13 (:614-645),sweep,HG002,chr1:120-121Mb,routed,0.0507% vs 8.6716%,VERIFIED_REPORT,diagnostic only
Round-3 HG004 block bootstrap: 7 PRESERVED / 2 IMPROVED / 0 DEGRADED,FOUR_EXPERIMENT_VALIDATION_REPORT.md s4 (worktree agent-a5e7...),R3,HG004,chr2/3/5,verdicts,7/2/0,VERIFIED_REPORT,same BAM bytes as v19; unmerged
"GIAB v3.1 routing enrichment lowmap_segdup 2.38 [1.64,3.46]; alldifficult 1.82; tandemrepeats 0.78 [0.42,1.44]",FOUR_EXPERIMENT_VALIDATION_REPORT.md s6,R3,HG004,chr2/3/5 full,enrichment,2.38/1.82/0.78,VERIFIED_REPORT,ratio of Wilson CIs
HG005 reads <=250 bp; novoalign V3.02.07; 9% downsample seed 42,samtools view of data/giab_hg005_stress/chr1_24Mb_30x.bam (this review),data,HG005,chr1,BAM header,novoalign V3.02.07; max read length 250,VERIFIED_RAW,library/instrument beyond this not verified
"Extraction of dropped windows: 596,992 of 3,000,000 bases dropped (HG005)",experimental/stress_test/HG005_COORDINATE_INTEGRITY_REPORT.md Gate A,C1,HG005,chr1:1-4Mb,dropped bases,596992,RECORD_ONLY_RAW_UNAVAILABLE,raw/report source not in repository (lost with wiped /tmp worktree 2026-09-20): experimental/stress_test/HG005_COORDINATE_INTEGRITY_REPORT.md; value is reported in the preserved experiment record and is not independently reproducible today
"Router freeze split: train 1.89 Mb/2,544 SNP; validation 1.91 Mb/2,410 SNP; test 3.81 Mb/5,704 SNP",router-freeze worktree History/11_DEVLOG.md s2 (.claude/worktrees/agent-aaff295c27efb0e79),router freeze,HG002,chr21:32-40Mb,split,see value,VERIFIED_REPORT,exact genomic block coordinates DATA VERIFICATION NEEDED
AI disclosure: Claude; VR2 auditor 'independent Claude Sonnet 5 session',research/AI_ASSISTANCE_DISCLOSURE.md; VALIDATION_ROUND_2.md:3,disclosure,-,-,-,-,VERIFIED_REPORT,No document names Gemini: DATA VERIFICATION NEEDED
"HG002 chr20 whole chromosome: locus F1 PB-only 0.97809, cascade 0.97803; dF1 -5.64e-5 CI [-1.049e-4,-1.41e-5]",results/bench_v20/chr20_results.json; research/CHR20_RESULTS.csv,v20,HG002,"chr20 0-64,444,167 15x",locus F1 / dF1,"0.9780897; 0.9780334; -5.6356e-5; CI [-1.0489e-4,-1.4075e-5]",VERIFIED_RAW,"paired bootstrap 10,000, seed 20260812; block CI [-1.08e-4,-7.5e-6]"
chr20 pre-registered verdict DEGRADED (strict rule); magnitude -0.0056 percentage points,results/bench_v20/chr20_results.json,v20,HG002,chr20,verdict,DEGRADED,VERIFIED_RAW,rule bench_v14_crosschrom.classify unchanged; 18x inside 0.001 margin; McNemar 9:1 p=0.021
"chr20 hap.py F1 PB-only 0.96285, cascade 0.96280 (TRUTH.TOTAL 71,333)",experimental/chr20_validation/happy/ai_pb_only_chr20/happy.summary.csv; experimental/chr20_validation/happy/ai_cascade_chr20/happy.summary.csv,v20,HG002,chr20,hap.py F1,0.962851; 0.962796,VERIFIED_RAW,no CI for hap.py
"chr20 denominators: N_BED 71,387; dropped 1,030 (1.44%); retained 70,357; indel-overlap 33; locus frame 70,324; hap.py 71,333",results/bench_v20/chr20_results.json (m1_audit); hap.py summaries,M-1,HG002,chr20,denominators,71387/1030/70357/33/70324/71333,VERIFIED_RAW,"71,387-1,030=70,357; 70,357-33=70,324 checked"
"chr20 failure taxonomy: 10 disagreements = 8 router_fp (low BQ) + 1 router_fn (chr20:46,110,517; VAF 0.125; depth 28; BQ 39.2; alldifficult, not segdup) + 1 router_avoids_fp (chr20:25,313,342)",results/bench_v20/chr20_disagreements.json,v20,HG002,chr20,taxonomy,8/1/1,VERIFIED_RAW,JSON positions are 0-based; report positions 1-based
"chr20 router: 0.137% routed (77,248); rescuable 2,826 (true-SNP 1,328 / FP-avoidance 1,498); capture 2,817/2,826 = 0.9968",results/bench_v20/chr20_results.json (rescue_composition),v20,HG002,chr20,router,0.13735%; 0.99682,VERIFIED_RAW,true-SNP recall 0.99925; FP-avoid capture 0.99466
"chr20 excluding v14 chr20:33-34 Mb: dF1 -5.70e-5, CI [-1.06e-4,-1.42e-5]",results/bench_v20/chr20_results.json (sensitivity_excluding_v14_chr20_33_34Mb),v20,HG002,chr20,sensitivity,-5.70e-5,VERIFIED_RAW,verdict unchanged
Native load_reads 26.9x (HG005 30x) and 35.1x (HG002 15x) function-level; threads 0.73x,research/LOAD_READS_OPTIMIZATION_REPORT.md; experimental/load_reads_opt/results/,load_reads,HG005/HG002,0.4 Mb,function speedup,26.9x; 35.1x; 0.73x,VERIFIED_REPORT,function-level only; medians of 3 (HG002 baseline n=2)
Pipeline speedups 2.72x serial and 7.11x with 4 processes (vs pure-Python serial); async 1.21x/1.05x,research/LOAD_READS_OPTIMIZATION_REPORT.md,load_reads,HG005,chr1:1.0-1.8 Mb,pipeline speedup,2.72x; 7.11x; 1.21x; 1.05x,VERIFIED_REPORT,7.11x is native+4 processes vs pure-Python serial
HG005 3 Mb pipeline 309 s (1 worker) / 146 s (4 workers); PB 287/309 s = 93%,research/LOAD_READS_OPTIMIZATION_REPORT.md; experimental/load_reads_opt/results/e2e/,load_reads,HG005,chr1:1-4 Mb,wall,309 s; 146 s,VERIFIED_REPORT,logs pipe_w1.log / pipe_w4.log present
Amdahl ceiling for eliminating load_reads ~3.06x; observed 2.72x,research/LOAD_READS_OPTIMIZATION_REPORT.md (A5/A6),load_reads,HG005,chr1:1.0-1.8 Mb,Amdahl,3.06x; 2.72x,VERIFIED_REPORT,p=183/272
load_reads equivalence: 0 mismatches in >6.7e8 cells; 8 fuzz BAMs; 5 real chunks; ~574k BED queries,research/LOAD_READS_OPTIMIZATION_REPORT.md (A4); test_native_reads_equivalence.py,load_reads,HG005/HG002,various,mismatches,0,VERIFIED_REPORT,17 tests pass (re-run 2026-09-20)
First native load_reads design (one pass over run of windows): 30 mismatching cells; replaced by per-64-nt-window passes,research/LOAD_READS_OPTIMIZATION_REPORT.md (A4),load_reads,synthetic,fuzz BAM,mismatches,30,VERIFIED_REPORT,repeated read names + overlapping mates
Counts backend (whole-span pass) differs from per-window passes on adversarial synthetic BAMs; equal on realistic BAMs and validated real data,test_counts_backend_fuzz.py; test_native_pileup_equivalence.py,native counts,synthetic,fuzz BAM,equivalence,realistic 20/20 pass; adversarial 20/20 expected-fail,VERIFIED_RAW,found 2026-09-20 while reconstructing tests; code unchanged
Current executable tests: see FINAL_FREEZE_REPORT.md section 7 (test_providers.py does not collect and is not counted),research/FINAL_FREEZE_REPORT.md,tests,-,-,tests,see report,VERIFIED_RAW,reconstructed tests are not the lost originals
Global verdict: predominantly PRESERVED/IMPROVED; DEGRADED in v14 chr20:33-34 Mb cell and v20 chr20; no global CONFIRMED claim,research/PAPER_MANUSCRIPT.md section 3.1; History/14_DEVLOG.md s21; results/bench_v20/chr20_results.json,verdicts,HG002,-,verdicts,see text,VERIFIED_RAW,extremely small magnitude at v20
"Frozen file hashes: cascade.py b0ee9f4b24fe06dc..., method_c_regression.py b5cea1f1660eb472... unchanged",experimental/chr20_validation/FROZEN_MANIFEST.json; experimental/chr20_validation/ANALYSIS_FREEZE.json,freeze,-,-,sha256,see manifest,VERIFIED_RAW,path-only edits to chr20 analysis scripts recorded in experimental/chr20_validation/PATH_ONLY_EDIT_2026-09-20.md
"V2 kernels, real-locus gate and full-chr20 VCFs are bit/byte-identical to V1",research/V2_NATIVE_ENGINE_REPORT.md; V2_CORRECTNESS_RESULTS.csv,V2 engine,HG002,chr20 300x,byte-identical VCFs,"3,471,975 and 3,481,518 bytes",VERIFIED_REPORT,raw outputs on /mnt/archive; single BAM only
"V2.x A+C holdout F1 0.989017, P 0.996362, R 0.981781 (control 0.971953)",research/V2X_ACCURACY_PERFORMANCE_BENCHMARK.csv; V2X_FINAL_REPORT.md,V2.x holdout,HG002,chr20 odd 2-Mb blocks,hap.py F1,0.989017,VERIFIED_REPORT,checked by research/audit_manuscript_numbers.py
V2.x A+C dF1 vs V2 +0.01706 [+0.01183; +0.02326],research/V2X_BOOTSTRAP_DELTAS_VS_V2.csv,V2.x holdout,HG002,chr20 odd blocks,block-bootstrap dF1,0.01706,VERIFIED_REPORT,
"V2.x A+C median 128.0 s, 221 MB, CPU +1.0%, PB evals 33 vs 707",research/V2X_TIMING_RESULTS.csv,V2.x cost,HG002,"chr20 300x, 8 threads warm",runtime/RSS,128.0 s / 221 MB,VERIFIED_REPORT,wall +-5% noise
"Final independent evaluation HG003 chr8: F1 0.989012, P 0.997567, R 0.980603 (TP 182,904 FP 446 FN 3,618)",research/final_independent_eval/happy/ai_A_C_chr8.summary.csv,final independent evaluation,HG003,chr8 whole 300x,hap.py F1,0.989012,VERIFIED_RAW,"single run; no V2 control; block CI [0.98713,0.99048]"
"chr8 run: 412.5 s wall, 326 MB peak RSS, 133,987,200 loci, 183,350 calls","research/final_independent_eval/run/{stdout.json,time.txt}",final independent evaluation,HG003,chr8,runtime/RAM,"412.485 s / 333,900 kB",VERIFIED_RAW,cache state as observed
"chr20 300x: DeepVariant 1.10.0 F1 0.997613, GATK 4.6.2.0 0.991712, V1/V2 0.972429",research/benchmark_chr20_300x/happy/*/*.summary.csv,external comparison,HG002,chr20 300x,hap.py F1,see text,VERIFIED_RAW,runtime conditions not matched; not a ranking
